# %ECSV 0.9
# ---
# datatype:
# - {name: kmin, datatype: float64}
# - {name: kmax, datatype: float64}
# - {name: kavg, datatype: float64}
# - {name: power, datatype: float32}
# - {name: N_modes, datatype: uint64}
# meta:
#   AllowGroupFinding: 1
#   BackupDirectory: /mnt/bb/nmaksimova/AbacusSummit/AbacusSummit_small_c000_ph3000
#   BackupStepInterval: -1
#   BoxSize: 500.0
#   BoxSizeHMpc: 500.0
#   BoxSizeMpc: 742.2802850356294
#   CPD: 441
#   CodeVersion: e2acd003678c2dedf9558f56723e0803ac3f29e4
#   Conv_IOCores: 0
#   Conv_IOMode: overwrite
#   Conv_OMP_NUM_THREADS: 42
#   Conv_OMP_PLACES: '{0}:21:4,{88}:21:4'
#   Conv_OMP_PROC_BIND: spread
#   Conv_zwidth: 0
#   ConvolutionCacheSizeMB: 200
#   ConvolutionL1CacheSizeMB: 0.015625
#   CoordinateDistanceHMpc: 570.4284438651082
#   DeleteICsAfterFirstBackup: 1
#   DeltaEtaDrift: 0.0006431634606576253
#   DeltaRedshift: 0.000594239105311
#   DeltaScaleFactor: 0.000412461794582
#   DeltaTime: 0.000446420219047
#   DensityKernelRad: 0.4
#   DensityKernelRad2: 5.3583676e-08
#   DerivativeExpansionRadius: 8
#   DerivativesDirectory: /mnt/bb/nmaksimova/Derivatives
#   DirectBPD: 2
#   Do2LPTVelocityRereading: 0
#   DoublePrecision: 0
#   FinalRedshift: 0.2
#   FirstHalfEtaKick: 0.0002679516024475248
#   FoFLinkingLength: !!python/tuple [0.25, 0.25, 0.25]
#   FullStepNumber: 854
#   GPUQueueAssignments: !!python/tuple [0, 0, 0, 1, 1, 1]
#   GPUThreadCoreStart: !!python/tuple [72, 76, 80, 160, 164, 168]
#   GroupDirectory: /mnt/bb/nmaksimova/AbacusSummit/AbacusSummit_small_c000_ph3000/group
#   GroupRadius: 15
#   Growth: 0.709125958472415
#   Growth_on_a_n: 0.850531419915079
#   H0: 67.36
#   Htime: 0.861649856249735
#   HubbleNow: 1.108810072104326
#   HubbleTimeGyr: 14.516330166270784
#   HubbleTimeHGyr: 9.7782
#   ICFormat: RVZel
#   ICPositionRange: 500
#   ICVelocity2Displacement: 1.0
#   IOCores: !!python/tuple [68, 156]
#   IODirThreads: !!python/tuple [2, 2]
#   IODirs: multipole/write/
#   InitialConditionsDirectory: /mnt/bb/nmaksimova/AbacusSummit/AbacusSummit_small_c000_ph3000/ic
#   InitialRedshift: 99.0
#   L0DensityThreshold: 91.3941764831543
#   L1OutputRedshifts: !!python/tuple [8.0, 5.0, 3.0, 2.75, 2.5, 2.25, 2.0, 1.85, 1.7, 1.625, 1.55, 1.475, 1.4, 1.325, 1.25, 1.175, 1.1,
#     1.025, 0.95, 0.875, 0.8, 0.725, 0.65, 0.575, 0.5, 0.45, 0.4, 0.35, 0.3, 0.25, 0.2, 0.15, 0.1]
#   LPTStepNumber: 0
#   LagrangianPTOrder: 2
#   LastHalfEtaKick: 0.0002678852823647659
#   LightConeDirectory: /mnt/bb/nmaksimova/AbacusSummit/AbacusSummit_small_c000_ph3000/lightcone
#   LightConeOrigins: !!python/tuple [-990.0, -990.0, -990.0, -990.0, -990.0, -2990.0, -990.0, -2990.0, -990.0]
#   LogDirectory: /mnt/bb/nmaksimova/AbacusSummit/AbacusSummit_small_c000_ph3000/log
#   LogVerbosity: 2
#   MAXRAMMB: 100000
#   MachineName: b24n01
#   MicrostepTimeStep: 0
#   MinL1HaloNP: 35
#   MultipoleDirectory: /dev/shm/nmaksimova//AbacusSummit_small_c000_ph3000/multipole
#   MunmapThreadCore: 69
#   NGPUThreadCores: 2
#   NLightCones: 0
#   NP: 5159780352
#   N_ncdm: 1.0
#   N_ur: 2.0328
#   NearFieldRadius: 2
#   NodeRank: 0
#   NodeSize: 0
#   NumSlabsInsertList: 2
#   NumSlabsInsertListIC: 8
#   OMP_NUM_THREADS: 68
#   OMP_PLACES: ' {0}:17:4,{1}:17:4,{88}:17:4,{89}:17:4'
#   OMP_PROC_BIND: spread
#   OmegaNow_DE: 0.556999109176224
#   OmegaNow_K: 0.0
#   OmegaNow_m: 0.443000890823776
#   Omega_DE: 0.684808
#   Omega_K: 0.0
#   Omega_M: 0.315192
#   Omega_Smooth: 0.00142
#   Order: 8
#   OutputDirectory: /mnt/bb/nmaksimova/AbacusSummit/AbacusSummit_small_c000_ph3000
#   OutputFormat: Pack9
#   OutputFormatVersion: v2.2
#   OutputType: GroupOutput
#   Parallel: 0
#   ParameterFileName: abacus.par
#   ParticleMassHMsun: 2109081520.453063
#   ParticleMassMsun: 3131059264.330557
#   ParticleSubsampleA: 0.03
#   ParticleSubsampleB: 0.07
#   Pipeline: singlestep
#   PowerSpectrumN1d: 256
#   PowerSpectrumStepInterval: -1
#   ProperSoftening: 1
#   RamDisk: 1
#   Redshift: 0.2
#   RunTime: Fri Jun 26 12:29:40 2020
#   SODensity: !!python/tuple [200, 800]
#   SODensityL1: 304.64725494384766
#   SODensityL2: 1218.5890197753906
#   SO_EvolvingThreshold: 1
#   SO_alpha_eligible: 0.8
#   ScaleFactor: 0.8333333333333335
#   ScaleFactorHalf: 0.8331270938794451
#   SimComment: Small box for covariance, base cosmology, no lightcone
#   SimName: AbacusSummit_small_c000_ph3000
#   SimSet: AbacusSummit
#   SiteName: summit
#   SofteningLength: 0.007233796296296299
#   SofteningLengthNow: 0.008684854160194674
#   SofteningLengthNowInternal: 0.01871733714042676
#   SofteningMax: 0.0868055555555556
#   SofteningType: single_spline
#   StateIOMode: overwrite
#   TaylorDirectory: /dev/shm/nmaksimova//AbacusSummit_small_c000_ph3000/taylor
#   Time: 0.777094182247529
#   TimeSliceRedshifts_Subsample: !!python/tuple [1.4, 1.1, 0.8, 0.5, 0.4, 0.3, 0.2]
#   TimeStepAccel: 0.25
#   TimeStepDlna: 0.03
#   VelZSpace_to_Canonical: 0.770006994516893
#   VelZSpace_to_kms: 46200.41967101357
#   WorkingDirectory: /dev/shm/nmaksimova//AbacusSummit/AbacusSummit_small_c000_ph3000
#   ZD_NumBlock: 4
#   ZD_PLT_filename: /mnt/bb/nmaksimova/abacus/external/zeldovich-PLT/eigmodes128
#   ZD_PLT_target_z: 12.0
#   ZD_Pk_file_redshift: 1.0
#   ZD_Pk_filename: /mnt/bb/nmaksimova/abacus/external/AbacusSummit/Cosmologies/abacus_cosm000/CLASS_power
#   ZD_Pk_norm: 8.0
#   ZD_Pk_scale: 1.0
#   ZD_Pk_sigma_ratio: 0.02113950155394198
#   ZD_Pk_smooth: 0.0
#   ZD_Seed: 42321
#   ZD_Version: 2
#   ZD_f_cluster: 0.9954948095129318
#   ZD_k_cutoff: 1.0
#   ZD_mpirun_cmd: jsrun -n1 -cALL_CPUS -a1 -r1 -b rs
#   ZD_qPLT: 1
#   ZD_qPLT_rescale: 1
#   ZeldovichDirectory: /mnt/bb/nmaksimova/abacus/external/zeldovich-PLT
#   checkpoint_timeout: 5
#   etaD: -4.263250072323778
#   etaK: 3.04910477428485
#   f_growth: 0.636432597471204
#   fsmooth: 0.004505190487068
#   hMpc: 1
#   mpirun_cmd: jsrun -nALL_HOSTS -cALL_CPUS -a1 -r1 -gALL_GPUS -b none
#   nIODirs: 2
#   n_s: 0.9649
#   omega_b: 0.02237
#   omega_cdm: 0.12
#   omega_ncdm: 0.0006442
#   ppd: 1728.0
#   step_timeout: 15
#   w: -1.0
#   w0: -1.0
#   wa: 0.0
# schema: astropy-2.0
